,Shirt NumberShirt,Player NamePlayer,TeamTeam,SuccessfulSuccessful,ErrorsSE,AttemptsAttempts,Average per matchaverage-per-match,Success %Success %,TotalTA
224,14,Correia De Souza Douglas,BRA,0,0,32,0.0,0.0,32
225,17,Hoss Thales,BRA,0,1,66,0.0,0.0,67
226,18,Souza Ricardo Lucarelli,BRA,0,0,34,0.0,0.0,34
227,19,Moreira Roque Felipe,BRA,0,0,0,,,0
228,23,Resende Gualberto Flavio,BRA,0,0,9,0.0,0.0,9
229,2,Pereyra Federico,ARG,0,1,13,0.0,0.0,14
230,3,Martinez Franchi Jan,ARG,0,0,11,0.0,0.0,11
231,7,Conte Facundo,ARG,0,1,31,0.0,0.0,32
232,16,Palonsky Luciano,ARG,0,0,1,0.0,0.0,1
233,17,Mendez Nicolas,ARG,0,0,15,0.0,0.0,15
234,18,Ramos Martin,ARG,0,1,3,0.0,0.0,4
235,12,Sharifi Morteza,IRI,0,1,2,0.0,0.0,3
236,23,Saadat Bardia,IRI,0,0,4,0.0,0.0,4
237,8,Plak Fabian,NED,0,0,4,0.0,0.0,4
238,18,Andringa Robbert,NED,0,0,32,0.0,0.0,32
239,3,Macdonald Steven,AUS,0,0,0,,,0
240,5,Kaczmarek Lukasz,POL,0,0,1,0.0,0.0,1
241,13,Kubiak Michal,POL,0,1,36,0.0,0.0,37
242,14,Sliwka Aleksander,POL,0,0,8,0.0,0.0,8
243,19,Janusz Marcin,POL,0,0,0,,,0
244,10,Kujundžić Miran,SRB,0,0,3,0.0,0.0,3
245,23,Vucicevic Bozidar,SRB,0,0,0,,,0
246,1,Gardini Davide,ITA,0,0,1,0.0,0.0,1
247,25,Vitelli Marco,ITA,0,0,4,0.0,0.0,4
248,5,Šket Alen,SLO,0,0,6,0.0,0.0,6
249,4,Jendryk II Jeffrey,USA,0,0,0,,,0
250,6,Stahl Mitchell,USA,0,0,6,0.0,0.0,6
251,21,Souza Alan,BRA,0,0,9,0.0,0.0,9
252,9,Ngapeth Earvin,FRA,0,0,55,0.0,0.0,55
253,19,Röhrs Erik,GER,0,0,0,,,0
254,4,Otake Issei,JPN,0,1,3,0.0,0.0,4
255,3,Marshall Steven,CAN,0,0,17,0.0,0.0,17
256,6,Poglajen Cristian,ARG,0,0,16,0.0,0.0,16
257,8,Loser Agustin,ARG,0,0,8,0.0,0.0,8
258,13,Palacios Ezequiel,ARG,0,1,3,0.0,0.0,4
259,14,Crer Pablo,ARG,0,0,1,0.0,0.0,1
260,19,Massimino Franco,ARG,0,0,12,0.0,0.0,12
261,32,Azeez Oluwatobi Elliot,AUS,0,0,2,0.0,0.0,2
262,1,Nowakowski Piotr,POL,0,0,1,0.0,0.0,1
263,26,Ivanov Svetoslav,BUL,0,0,4,0.0,0.0,4
264,13,Muserskiy Dmitriy,RUS,0,0,8,0.0,0.0,8
265,21,Faure Théo,FRA,0,0,2,0.0,0.0,2
266,1,Anderson Matthew,USA,0,1,9,0.0,0.0,10
267,25,Maase Lukas,GER,0,0,1,0.0,0.0,1
268,9,Danani Santiago,ARG,0,0,29,0.0,0.0,29
269,10,Lazo Nicolás,ARG,0,0,0,,,0
270,12,Lima Bruno,ARG,0,0,4,0.0,0.0,4
271,15,Lyutskanov Gordan,BUL,0,0,1,0.0,0.0,1
272,16,Douglas-Powell Thomas Ewen,AUS,0,0,0,,,0
273,11,Nishida Yuji,JPN,0,0,2,0.0,0.0,2
274,3,De Barros Ferreira João Rafael,BRA,0,0,2,0.0,0.0,2
275,16,Saatkamp Lucas,BRA,0,0,1,0.0,0.0,1
276,9,Iakovlev Ivan,RUS,0,0,0,,,0
